,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
200,J154257.94+003224.69,235.742,0.541,0.094,-5.0,0.0,0.0,0.0,999999
201,J154901.21+003044.60,237.256,0.513,0.031,5.0,4.0,0.0,0.0,999999
202,J155024.16+003409.10,237.601,0.57,0.055,1.0,0.0,0.0,0.0,999999
203,J110514.85+005921.07,166.312,0.99,0.022,8.0,0.0,0.0,0.0,999999
204,J110536.02+005240.30,166.401,0.878,0.071,-5.0,0.0,0.0,0.0,999999
205,J111038.12+005328.08,167.659,0.892,0.026,8.0,0.0,0.0,0.0,999999
206,J111549.40+005137.47,168.956,0.861,0.046,-3.0,0.0,0.0,0.0,999999
207,J111633.04+005542.37,169.138,0.929,0.064,1.0,0.0,0.0,0.0,999999
208,J111836.01+010151.61,169.651,1.032,0.064,-5.0,0.0,0.0,0.0,999999
209,J111926.80+005805.10,169.862,0.969,0.04,-3.0,0.0,0.0,0.0,999999
210,J112407.55+005818.79,171.032,0.972,0.075,1.0,0.0,0.0,0.0,999999
211,J112816.39+005328.78,172.069,0.892,0.04,4.0,0.0,0.0,0.0,.SXS4..
212,J113233.22+005953.03,173.139,0.999,0.026,6.0,0.0,0.0,0.0,999999
213,J114453.04+005622.67,176.222,0.94,0.029,-2.0,0.0,0.0,0.0,999999
214,J120953.86+005542.67,182.475,0.929,0.02,1.0,4.0,0.0,0.0,RSBR1?/
215,J121104.06+005820.28,182.767,0.973,0.021,-3.0,0.0,0.0,0.0,.L..-?.
216,J121528.04+010102.05,183.867,1.018,0.048,0.0,0.0,0.0,0.0,999999
217,J124053.63+010030.08,190.224,1.009,0.023,0.0,0.0,0.0,0.0,999999
218,J124225.67+005648.72,190.607,0.947,0.08,1.0,2.0,0.0,0.0,999999
219,J130803.08+005735.70,197.013,0.96,0.042,5.0,72.0,0.0,0.0,999999
221,J131251.13+010006.45,198.214,1.002,0.075,-5.0,0.0,0.0,0.0,999999
222,J131254.74+010209.48,198.229,1.036,0.072,-5.0,0.0,0.0,0.0,999999
223,J131256.05+005628.21,198.234,0.942,0.049,4.0,0.0,0.0,0.0,999999
224,J131710.92+005448.82,199.296,0.914,0.081,3.0,0.0,0.0,0.0,999999
225,J133238.85+005213.71,203.162,0.871,0.035,4.0,0.0,0.0,0.0,999999
226,J140403.71+005347.45,211.016,0.897,0.044,5.0,0.0,0.0,0.0,999999
227,J140651.78+005100.48,211.716,0.851,0.048,-5.0,0.0,0.0,0.0,999999
229,J141814.91+005327.91,214.563,0.892,0.026,5.0,0.0,0.0,0.0,.SXR5*.
230,J142314.69+005842.04,215.812,0.979,0.041,4.0,0.0,0.0,0.0,999999
231,J142612.98+005138.10,216.555,0.861,0.032,-5.0,0.0,0.0,0.0,999999
232,J142653.09+005746.28,216.722,0.963,0.027,7.0,0.0,0.0,0.0,999999
234,J142804.53+010022.59,217.019,1.007,0.026,3.0,0.0,0.0,0.0,999999
236,J144613.35+005157.77,221.556,0.867,0.029,3.0,0.0,0.0,0.0,999999
237,J145544.63+005158.03,223.936,0.867,0.044,1.0,0.0,0.0,0.0,999999
238,J150625.46+005544.86,226.607,0.93,0.032,5.0,0.0,0.0,0.0,999999
239,J092935.23-005404.15,142.397,-0.901,0.07,-5.0,0.0,0.0,0.0,999999
240,J094603.07-005044.81,146.513,-0.845,0.065,5.0,8.0,0.0,0.0,999999
